Nombre,Descripción,Tipo de Plantilla,Localidad,Calidad,URL del Icono de Calidad,Descripción del Icono de Calidad,Accesible,URL del Icono de Accesibilidad,Descripción del Icono de Accesibilidad,Teléfono,Dirección,Marcas,Perfiles Turísticos,Diversidad functional física ,Diversidad functional visual ,Diversidad functional auditiva ,Diversidad functional intelectual ,Diversidad functional orgánica ,Buenas prácticas ,Email,WEB,Importancia,Sala de Reuniones,Club de Producto,Visita Guiada,Tienda,Actividades Gastronómicas,Surfing,Postal Code,Tipo,Duración,Tipo de Transporte,Inicio de Ruta,Agua,Paisaje,Gastronomía,Cultura,Pareja,Niños,Amigos,Buscable,Idiomas,100% Basque,Coordenadas GPS,LATWGS84,LONWGS84,Nombre lugar,Dirección,Municipio,Código municipio,Código postal,Provincia,Código provincia,País,Código país,Teléfono,Correo electrónico,Página web,URL amigable,URL física,XML datos,XML metadatos,Zip
Bilbao,"Bilbao es entre las ciudades vascas la más cosmopolita, poblada e inquieta. Se trata de un...",Localidades,Bilbao,,,,,,,,,Bilbao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.256961046580166,-2.923446364418055",43.256961046580166,-2.923446364418055,,,Bilbao,020,,Bizkaia,48,España,108,,,,https://turismoa.euskadi.eus/es/top10/localidades/bilbao/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000004981_d2_rec_turismo/es_4981/4981-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000004981_d2_rec_turismo/es_4981/data/4981_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000004981_d2_rec_turismo/r01Index/0000004981_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000004981_d2_rec_turismo/opendata/0000004981_d2_rec_turismo.zip
Astigarraga,"El río de Urumea rodea esta localidad. Hablamos de Astigarraga, cuna de la sidra, ubicada ...",Localidades,Astigarraga,,,,,,,,,Montes y Valles vascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.28066802127562,-1.947645730688464",43.28066802127562,-1.947645730688464,,,Astigarraga,903,,Gipuzkoa,20,España,108,,,,https://turismoa.euskadi.eus/es/localidades/astigarraga/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005021_d2_rec_turismo/es_5021/5021-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005021_d2_rec_turismo/es_5021/data/5021_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005021_d2_rec_turismo/r01Index/0000005021_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005021_d2_rec_turismo/opendata/0000005021_d2_rec_turismo.zip
Salvatierra/Agurain,"Esta localidad está situada entre las sierras de Entzia e Iturrieta, en las que se esconde...",Localidades,Arrizala; Agurain/Salvatierra; Egileor; Alangua; Opakua,,,,,,,,,Montes y Valles vascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agurain/Salvatierra;Agurain/Salvatierra;Agurain/Salvatierra;Agurain/Salvatierra;Agurain/Salvatierra;Agurain/Salvatierra,051;051;051;051;051;051,,Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava,01;01;01;01;01;01,España;España;España;España;España;España,108;108;108;108;108;108,,,,https://turismoa.euskadi.eus/es/localidades/salvatierra-agurain/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005024_d2_rec_turismo/es_5024/5024-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005024_d2_rec_turismo/es_5024/data/5024_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005024_d2_rec_turismo/r01Index/0000005024_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005024_d2_rec_turismo/opendata/0000005024_d2_rec_turismo.zip
Barakaldo,"Barakaldo se encuentra dentro de la comarca del Gran Bilbao, en la margen izquierda de la r&iacut...",Localidades,San Vicente de Barakaldo; Errekatxo/El Regato,,,,,,,,,Bilbao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barakaldo;Barakaldo,013;013,,Bizkaia;Bizkaia,48;48,España;España,108;108,,,,https://turismoa.euskadi.eus/es/localidades/barakaldo/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005026_d2_rec_turismo/es_5026/5026-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005026_d2_rec_turismo/es_5026/data/5026_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005026_d2_rec_turismo/r01Index/0000005026_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005026_d2_rec_turismo/opendata/0000005026_d2_rec_turismo.zip
Santurtzi,Santurtzi es una localidad de gran tradición marinera situada en el territorio hist&oacute...,Localidades,El Villar | Diseminado; Balparda | Diseminado; Santurtzi,,,,,,,,,Costa Vasca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santurtzi;Santurtzi;Santurtzi,082;082;082,,Bizkaia;Bizkaia;Bizkaia,48;48;48,España;España;España,108;108;108,,,,https://turismoa.euskadi.eus/es/localidades/santurtzi/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005042_d2_rec_turismo/es_5042/5042-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005042_d2_rec_turismo/es_5042/data/5042_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005042_d2_rec_turismo/r01Index/0000005042_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005042_d2_rec_turismo/opendata/0000005042_d2_rec_turismo.zip
Ayala/Aiara,"Conocido por su espectacular valle, con sus suaves laderas cubiertas de pastizales y verdes bosqu...",Localidades,Izoria; Erbi | Diseminado; Luxo/Lujo | Diseminado; Luiaondo; Llanteno; Madaria | Diseminado; Maroño | Diseminado; Menagarai; Menoio; Murga; Ozeka | Diseminado; Olabezar | Diseminado; Quejana/Kexaa | Diseminado; Arespalditza/Respaldiza; Retes de Llanteno; ,,,,,,,,,Montes y Valles vascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara;Ayala/Aiara,010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010;010,,Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava,01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01,España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España;España,108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108,,,,https://turismoa.euskadi.eus/es/localidades/ayala-aiara/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005043_d2_rec_turismo/es_5043/5043-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005043_d2_rec_turismo/es_5043/data/5043_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005043_d2_rec_turismo/r01Index/0000005043_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005043_d2_rec_turismo/opendata/0000005043_d2_rec_turismo.zip
Elvillar/Bilar,Elvillar/Bilar es un pequeño municipio situado a unos 585 metros de altitud al sur de...,Localidades,Elvillar/Bilar,,,,,,,,,Rioja Alavesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.570497,-2.544915",42.570497,-2.544915,,,Elvillar/Bilar,023,,Araba/Álava,01,España,108,,,,https://turismoa.euskadi.eus/es/localidades/elvillar-bilar/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005044_d2_rec_turismo/es_5044/5044-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005044_d2_rec_turismo/es_5044/data/5044_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005044_d2_rec_turismo/r01Index/0000005044_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005044_d2_rec_turismo/opendata/0000005044_d2_rec_turismo.zip
Abadiño,Montes y árboles tiñen de verde los parajes de esta localidad perteneciente a la co...,Localidades,Zelaieta | Abadiño-Zelaieta; Gaztelua | Diseminado; Gerediaga | Diseminado; Traña-Matiena; Mendiola | Diseminado; Muntsaratz; Urkiola | Diseminado,,,,,,,,,Montes y Valles vascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abadiño;Abadiño;Abadiño;Abadiño;Abadiño;Abadiño;Abadiño,001;001;001;001;001;001;001,,Bizkaia;Bizkaia;Bizkaia;Bizkaia;Bizkaia;Bizkaia;Bizkaia,48;48;48;48;48;48;48,España;España;España;España;España;España;España,108;108;108;108;108;108;108,,,,https://turismoa.euskadi.eus/es/localidades/abadino/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005045_d2_rec_turismo/es_5045/5045-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005045_d2_rec_turismo/es_5045/data/5045_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005045_d2_rec_turismo/r01Index/0000005045_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005045_d2_rec_turismo/opendata/0000005045_d2_rec_turismo.zip
Alegría-Dulantzi,Dos poblaciones se unen formando este municipio con gran patrimonio histórico. Lo marcan t...,Localidades,Egileta; Alegría-Dulantzi,,,,,,,,,Montes y Valles vascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alegría-Dulantzi;Alegría-Dulantzi,001;001,,Araba/Álava;Araba/Álava,01;01,España;España,108;108,,,,https://turismoa.euskadi.eus/es/localidades/alegria-dulantzi/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005061_d2_rec_turismo/es_5061/5061-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005061_d2_rec_turismo/es_5061/data/5061_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005061_d2_rec_turismo/r01Index/0000005061_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005061_d2_rec_turismo/opendata/0000005061_d2_rec_turismo.zip
Amurrio,"Amurrio se halla al noroeste del territorio histórico de Álava, dentro de la Cuadri...",Localidades,Aloria; Amurrio; Artomaña; Baranbio; Tertanga; Larrinbe | Diseminado; Lekamaña; Lezama | Diseminado; Saratxo | Diseminado; Delika,,,,,,,,,Montes y Valles vascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amurrio;Amurrio;Amurrio;Amurrio;Amurrio;Amurrio;Amurrio;Amurrio;Amurrio;Amurrio,002;002;002;002;002;002;002;002;002;002,,Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava;Araba/Álava,01;01;01;01;01;01;01;01;01;01,España;España;España;España;España;España;España;España;España;España,108;108;108;108;108;108;108;108;108;108,,,,https://turismoa.euskadi.eus/es/localidades/amurrio/aa30-12375/es/,https://turismoa.euskadi.eus/aa30-12375/es/contenidos/d_destinos_turisticos/0000005062_d2_rec_turismo/es_5062/5062-ficha2.html,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005062_d2_rec_turismo/es_5062/data/5062_openData.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005062_d2_rec_turismo/r01Index/0000005062_d2_rec_turismo-idxContent.xml,https://turismoa.euskadi.eus/contenidos/d_destinos_turisticos/0000005062_d2_rec_turismo/opendata/0000005062_d2_rec_turismo.zip
